id	viewCount	thumbnail	image	url	use	published	updated	title	author	description	restrictedInDE	restrictionsAll	rating	category	reasonDE	reasonEN
fWNaR-rxAic	391631412	http://i.ytimg.com/vi/fWNaR-rxAic/default.jpg	http://i.ytimg.com/vi/fWNaR-rxAic/hqdefault.jpg	http://www.youtube.com/watch?v=fWNaR-rxAic	true	2012-03-01T23:21:04.000Z	2013-01-26T16:00:24.000Z	Carly Rae Jepsen - Call Me Maybe	CarlyRaeJepsenVEVO	Buy Now!  http://smarturl.it/CallMeMaybe\nMusic video by Carly Rae Jepsen performing Call Me Maybe. (C) 2011 604 Records Inc.\n#VEVOCertified on June 8, 2012. http://www.youtube.com/vevocertified	true	DE	4.7197914	Musik	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	Unfortunately, this video is not available in Germany because it may contain music for which GEMA has not granted the respective music rights.
j5-yKhDd64s	386801803	http://i.ytimg.com/vi/j5-yKhDd64s/default.jpg	http://i.ytimg.com/vi/j5-yKhDd64s/hqdefault.jpg	http://www.youtube.com/watch?v=j5-yKhDd64s	true	2010-06-05T04:41:59.000Z	2013-01-26T15:59:26.000Z	Eminem - Not Afraid	EminemVEVO	Music video by Eminem performing Not Afraid. (C) 2010 Aftermath Records\n#VEVOCertified on September 11, 2010.http://www.vevo.com/certified http://www.youtube.com/vevocertified	true	DE	4.896442	Musik	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	Unfortunately, this video is not available in Germany because it may contain music for which GEMA has not granted the respective music rights.
SmM0653YvXU	381965475	http://i.ytimg.com/vi/SmM0653YvXU/default.jpg	http://i.ytimg.com/vi/SmM0653YvXU/hqdefault.jpg	http://www.youtube.com/watch?v=SmM0653YvXU	true	2011-07-22T07:00:00.000Z	2013-01-26T15:59:52.000Z	Pitbull - Rain Over Me ft. Marc Anthony	PitbullVEVO	Music video by Pitbull Featuring Marc Anthony performing Rain Over Me. (C) 2011 J Records, a unit of Sony Music Entertainment\n#VEVOCertified on October 7, 2011. http://www.vevo.com/certified http://www.youtube.com/vevocertified	true	DE,SS	4.8375216	Musik	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	Unfortunately, this video is not available in Germany because it may contain music for which GEMA has not granted the respective music rights.
rYEDA3JcQqw	371426345	http://i.ytimg.com/vi/rYEDA3JcQqw/default.jpg	http://i.ytimg.com/vi/rYEDA3JcQqw/hqdefault.jpg	http://www.youtube.com/watch?v=rYEDA3JcQqw	true	2010-11-30T23:16:19.000Z	2013-01-26T15:59:34.000Z	Adele - Rolling In The Deep	AdeleVEVO	Music video by Adele performing Rolling In The Deep. (C) 2010 XL Recordings Ltd.\n\n#VEVOCertified on July 25, 2011. http://www.vevo.com/certified http://www.youtube.com/vevocertified	true	DE	4.9055595	Musik	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	Unfortunately, this video is not available in Germany because it may contain music for which GEMA has not granted the respective music rights.
8UVNT4wvIGY	369915389	http://i.ytimg.com/vi/8UVNT4wvIGY/default.jpg	http://i.ytimg.com/vi/8UVNT4wvIGY/hqdefault.jpg	http://www.youtube.com/watch?v=8UVNT4wvIGY	true	2011-07-05T20:58:17.000Z	2013-01-26T15:59:11.000Z	Gotye - Somebody That I Used To Know (feat. Kimbra) - official video	gotyemusic	For details on Gotye's upcoming tour dates go here http://www.gotye.com\n\nFilm clip for the Gotye song Somebody That I Used To Know, featuring Kimbra from the album Making Mirrors. Buy Somebody That I Used To Know here: http://www.smarturl.it/gotyesomebody\nBuy Making Mirrors here http://www.smarturl.it/gotye \nhttp://www.gotye.com/\nhttp://www.facebook.com/gotye/\nhttp://www.twitter.com/gotye/\n\n**********************************************\nSomebody That I Used To Know lyrics\n\nNow and then I think of when we were together\nLike when you said you felt so happy you could die\nTold myself that you were right for me\nBut felt so lonely in your company\nBut that was love and it's an ache I still remember\n\nYou can get addicted to a certain kind of sadness\nLike resignation to the end\nAlways the end\nSo when we found that we could not make sense\nWell you said that we would still be friends\nBut I'll admit that I was glad that it was over\n\nBut you didn't have to cut me off\nMake out like it never happened\nAnd that we were nothing\nAnd I don't even need your love\nBut you treat me like a stranger\nAnd that feels so rough\nYou didn't have to stoop so low\nHave your friends collect your records\nAnd then change your number\nI guess that I don't need that though\nNow you're just somebody that I used to know\n\nNow and then I think of all the times you screwed me over\nBut had me believing it was always something that I'd done\nAnd I don't wanna live that way\nReading into every word you say\nYou said that you could let it go \nAnd I wouldn't catch you hung up on somebody that you used to know...\n\nBut you didn't have to cut me off\nMake out like it never happened\nAnd that we were nothing\nAnd I don't even need your love\nBut you treat me like a stranger\nAnd that feels so rough\nYou didn't have to stoop so low\nHave your friends collect your records\nAnd then change your number\nI guess that I don't need that though\nNow you're just somebody that I used to know\n\nI used to know\nThat I used to know\n\nSomebody...\n*************\n\nVideo credits:\nDirected, produced and edited by Natasha Pincus\nBody art by Emma Hack\nCinematographer and colourist: Warwick Field\nScenic artist: Howard Clark\nKey grip: Rob Hansford\nAssistants: Rose Cidoni, Claire Leighton, Rob Murray\nOriginal artwork by Frank De Backer\n\nMusic credits:\nProduced by Wally De Backer\nMixed by Francois Tetaz, assisted by Wally at Moose Mastering, Richmond, VIC\nBass recorded by Wally in Lucas Taranto's loungeroom, Melbourne, VIC\nAll other sounds put together by Wally in The Barn, Merricks, VIC\n\nBass guitar: Lucas Taranto\nLead and backing vocals: Kimbra\nGuitar, flutes, percussion and synth samples, lead and backing vocals: Wally\n\nContains a sample of the recording Seville as performed by Luiz Bonfa. Courtesy of Geffen Records, under license from Universal Music Enterprises.  Used by permission. All rights reserved.  Written by Luiz Bonfa and published by Sasqua Music. Used by permission.	true	DE	4.849112	Musik	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	Unfortunately, this video is not available in Germany because it may contain music for which GEMA has not granted the respective music rights.
fLexgOxsZu0	363569175	http://i.ytimg.com/vi/fLexgOxsZu0/default.jpg	http://i.ytimg.com/vi/fLexgOxsZu0/hqdefault.jpg	http://www.youtube.com/watch?v=fLexgOxsZu0	true	2011-04-15T22:03:14.000Z	2013-01-26T16:00:00.000Z	Bruno Mars - The Lazy Song [OFFICIAL VIDEO]	Bruno Mars	Available now on iTunes! http://smarturl.it/Doo-Wops\n'Unorthodox Jukebox' available now on iTunes! http://www.smarturl.it/unorthodoxjukebox\n\n© 2011 WMG. The official music video for 'The Lazy Song' by Bruno Mars from doo-wops and hooligans - available now on Elektra Records!\n\nDirected by Bruno Mars and Cameron Duddy\nChoreographed and Performed by Poreotics: http://poreotics.com\n\nhttp://brunomars.com \nhttp://facebook.com/thatbrunomars\nhttp://twitter.com/brunomars\n\nLYRICS\nToday I don't feel like doing anything\nI just wanna lay in my bed\nDon't feel like picking up my phone\nSo leave a message at the tone\n'Cause today I swear I'm not doing anything.\n\nUh!\nI'm gonna kick my feet up\nThen stare at the fan\nTurn the TV on, throw my hand in my pants\nNobody's gonna tell me I can't\n\nI'll be lounging on the couch,\nJust chillin' in my snuggie\nClick to MTV, so they can teach me how to dougie\n'Cause in my castle I'm the freaking man\n\nOh, yes I said it\nI said it\nI said it 'cause I can\n\nToday I don't feel like doing anything\nI just wanna lay in my bed\nDon't feel like picking up my phone\nSo leave a message at the tone\n'Cause today I swear I'm not doing anything\n\nNothing at all!\nOoh, hoo, ooh, hoo, ooh, ooh-ooh\nNothing at all\nOoh, hoo, ooh, hoo, ooh, ooh-ooh\n\nTomorrow I'll wake up, do some P90X\nMeet a really nice girl, have some really nice sex\nAnd she's gonna scream out: 'This is Great' (Oh my God, this is great)\nYeah\n\nI might mess around, get my college degree\nI bet my old man will be so proud of me\nBut sorry pops, you'll just have to wait\nHaha\n\nOh, yes I said it\nI said it\nI said it 'cause I can\n\nToday I don't feel like doing anything\nI just wanna lay in my bed\nDon't feel like picking up my phone\nSo leave a message at the tone\n'Cause today I swear I'm not doing anything\n\nNo, I ain't gonna comb my hair\n'Cause I ain't going anywhere\nNo, no, no, no, no, no, no, no, no\nI'll just strut in my birthday suit\nAnd let everything hang loose\nYeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah\n\nOoh\nToday I don't feel like doing anything\nI just wanna lay in my bed\nDon't feel like picking up my phone\nSo leave a message at the tone\n'Cause today I swear I'm not doing anything\n\nNothing at all\nNothing at all\nNothing at all\n\nComic Chimp Mask used by permission of Easter Unlimited, Inc. / FunWorld Div. All Rights Reserved. Copyright 2009.	true	DE	4.857907	Musik	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	Unfortunately, this video is not available in Germany because it may contain music for which GEMA has not granted the respective music rights.
_Z5-P9v3F8w	355649664	http://i.ytimg.com/vi/_Z5-P9v3F8w/default.jpg	http://i.ytimg.com/vi/_Z5-P9v3F8w/hqdefault.jpg	http://www.youtube.com/watch?v=_Z5-P9v3F8w	true	2010-05-27T22:07:29.000Z	2013-01-26T15:58:48.000Z	Justin Bieber - Never Say Never ft. Jaden Smith	JustinBieberVEVO	Music video by Justin Bieber performing Never Say Never. (C) 2010 The Island Def Jam Music Group	true	DE	3.7676463	Musik	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	Unfortunately, this video is not available in Germany because it may contain music for which GEMA has not granted the respective music rights.
QGJuMBdaqIw	347704043	http://i.ytimg.com/vi/QGJuMBdaqIw/default.jpg	http://i.ytimg.com/vi/QGJuMBdaqIw/hqdefault.jpg	http://www.youtube.com/watch?v=QGJuMBdaqIw	true	2010-10-28T19:08:32.000Z	2013-01-26T16:00:24.000Z	Katy Perry - Firework	KatyPerryVEVO	Official music video for Katy Perry's "Firework" off her album 'Teenage Dream'.  Director: Dave Meyers.  Producers: Robert Bray & Danny Lockwood. \nGet 'Teenage Dream' here: http://bit.ly/kpTDdelEX (explicit) http://bit.ly/kpTDdel (clean) \n#VEVOCertified on January 29, 2011. http://www.vevo.com/certified http://www.youtube.com/vevocertified	true	DE	4.7779613	Musik	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	Unfortunately, this video is not available in Germany because it may contain music for which GEMA has not granted the respective music rights.
QJO3ROT-A4E	322358458	http://i.ytimg.com/vi/QJO3ROT-A4E/default.jpg	http://i.ytimg.com/vi/QJO3ROT-A4E/hqdefault.jpg	http://www.youtube.com/watch?v=QJO3ROT-A4E	true	2011-08-19T15:00:00.000Z	2013-01-26T16:00:17.000Z	One Direction - What Makes You Beautiful	OneDirectionVEVO	Click here to purchase the single http://www.smarturl.it/1dwmybitunes\n\nMusic video by One Direction performing What Makes You Beautiful. (C) 2011 Simco Limited under exclusive license to Sony Music Entertainment UK Limited\n#VEVOCertified on April 16, 2012. http://www.vevo.com/certified http://www.youtube.com/vevocertified	true	DE,SS	4.580309	Musik	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	Unfortunately, this video is not available in Germany because it may contain music for which GEMA has not granted the respective music rights.
M11SvDtPBhA	316855182	http://i.ytimg.com/vi/M11SvDtPBhA/default.jpg	http://i.ytimg.com/vi/M11SvDtPBhA/hqdefault.jpg	http://www.youtube.com/watch?v=M11SvDtPBhA	true	2009-09-25T22:35:55.000Z	2013-01-26T16:00:23.000Z	Miley Cyrus - Party In The U.S.A.	hollywoodrecords	Music video by Miley Cyrus performing Party In The U.S.A.. \n#VEVOCertified on March 22, 2010. http://www.vevo.com/certified http://www.youtube.com/vevocertified	true	DE	4.3397083	Musik	Dieses Video ist in Deutschland nicht verfügbar, weil es möglicherweise Musik enthält, für die die erforderlichen Musikrechte von der GEMA nicht eingeräumt wurden.	Unfortunately, this video is not available in Germany because it may contain music for which GEMA has not granted the respective music rights.
